name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc
unclassify-fnc-5-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-10
unclassify-fnc-5-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-500-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,True,1,2.5,0.0,-5,-500
unclassify-fnc-10-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-1-u0.5.policy,1000,0.5,0.5,23,10000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-10,-1
unclassify-fnc-10-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,True,1,2.5,0.0,-10,-5
unclassify-fnc-10-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-10-u5.0.policy,1000,0.5,0.5,23,1.0,0.0,0.758,0.017,0.75,0.013,1.335,0.089,0.754,0.014,0.758,0.017,True,1,2.474,0.133,-10,-10
unclassify-fnc-10-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-500-u5.0.policy,1000,0.5,0.5,23,248601.0,8452.219,0.752,0.02,1.0,0.0,1.242,0.102,0.858,0.013,0.753,0.02,True,1,1.242,0.102,-10,-500
unclassify-fnc-500-fpc-1,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-1-u0.5.policy,1000,0.5,0.5,23,500000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,1,0.0,0.0,-500,-1
unclassify-fnc-500-fpc-5,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,2.5,0.0,-500,-5
unclassify-fnc-500-fpc-10,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-10-u5.0.policy,1000,0.5,0.5,23,249451.0,5993.538,1.0,0.0,0.798,0.011,0.126,0.008,0.888,0.007,1.0,0.0,True,1,1.263,0.083,-500,-10
unclassify-fnc-500-fpc-500,100,"Normal(1,0.2)",unclassify-fnc-500-fpc-500-u250.0.policy,1000,0.5,0.5,23,7.909,0.085,0.969,0.009,0.968,0.006,7.716,2.159,0.969,0.005,0.969,0.009,True,1,15.6,2.644,-500,-500
