name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc
wrong-cost-fnc-500-fpc-1,100,"Normal(1,0.2)",wrong-cost-fnc-500-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,0.5,0.0,-500,-1
wrong-cost-fnc-500-fpc-5,100,"Normal(1,0.2)",wrong-cost-fnc-500-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,2.5,0.0,-500,-5
wrong-cost-fnc-500-fpc-10,100,"Normal(1,0.2)",wrong-cost-fnc-500-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,1.0,0.0,True,1,5.0,0.0,-500,-10
wrong-cost-fnc-500-fpc-500,100,"Normal(1,0.2)",wrong-cost-fnc-500-fpc-500.policy,1000,0.5,0.5,23,9.997,0.34,0.993,0.003,0.995,0.004,1.803,0.812,0.994,0.002,0.993,0.003,True,1,3.15,1.226,-500,-500
bimodal-fnc-1-fpc-1,100,"BiModal(1,0.2)",wrong-cost-fnc-1-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-1
bimodal-fnc-1-fpc-5,100,"BiModal(1,0.2)",wrong-cost-fnc-1-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-5
bimodal-fnc-1-fpc-10,100,"BiModal(1,0.2)",wrong-cost-fnc-1-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-10
bimodal-fnc-1-fpc-500,100,"BiModal(1,0.2)",wrong-cost-fnc-1-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,False,1,0.5,0.0,-1,-500
bimodal-fnc-5-fpc-1,100,"BiModal(1,0.2)",wrong-cost-fnc-5-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.963,0.0,False,1,0.5,0.0,-5,-1
bimodal-fnc-5-fpc-5,100,"BiModal(1,0.2)",wrong-cost-fnc-5-fpc-5.policy,1000,0.5,0.5,23,1.0,0.0,0.731,0.013,0.739,0.019,0.803,0.038,0.735,0.014,0.731,0.013,False,1,1.32,0.077,-5,-5
bimodal-fnc-5-fpc-10,100,"BiModal(1,0.2)",wrong-cost-fnc-5-fpc-10.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-10
bimodal-fnc-5-fpc-500,100,"BiModal(1,0.2)",wrong-cost-fnc-5-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-500
bimodal-fnc-10-fpc-1,100,"BiModal(1,0.2)",wrong-cost-fnc-10-fpc-1.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,0.5,0.0,-10,-1
bimodal-fnc-10-fpc-5,100,"BiModal(1,0.2)",wrong-cost-fnc-10-fpc-5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,2.5,0.0,-10,-5
bimodal-fnc-10-fpc-10,100,"BiModal(1,0.2)",wrong-cost-fnc-10-fpc-10.policy,1000,0.5,0.5,23,1.0,0.0,0.732,0.025,0.738,0.013,1.468,0.126,0.735,0.017,0.732,0.025,False,1,2.635,0.149,-10,-10
bimodal-fnc-10-fpc-500,100,"BiModal(1,0.2)",wrong-cost-fnc-10-fpc-500.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,1,5.0,0.0,-10,-500
